"Code_Group","Group_Description","Code","Description","MEX","USA","CAN"
"01","Animals; live","010121","Horses; live, pure-bred breeding animals","10","0","0"
"01","Animals; live","010129","Horses; live, other than pure-bred breeding animals","15","0","0"
"01","Animals; live","010130","Asses; live","20","6.8","0"
"01","Animals; live","010190","Mules and hinnies; live","20","2.25","0"
"01","Animals; live","010221","Cattle; live, pure-bred breeding animals","0","0","0"
"01","Animals; live","010229","Cattle; live, other than pure-bred breeding animals","5","0.16","0"
"01","Animals; live","010231","Buffalo; live, pure-bred breeding animals","0","0","0"
"01","Animals; live","010239","Buffalo; live, other than pure-bred breeding animals","15","0.15","0"
"01","Animals; live","010290","Bovine animals; live, other than cattle and buffalo","15","0.33","0"
"01","Animals; live","010310","Swine; live, pure-bred breeding animals","0","0","0"
"01","Animals; live","010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","16.33","0","0"
"01","Animals; live","010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","17.25","0","0"
"01","Animals; live","010410","Sheep; live","6.67","0","0"
"01","Animals; live","010420","Goats; live","10","0.81","0"
"01","Animals; live","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","3.33","0.83","59.65"
"01","Animals; live","010512","Poultry; live, turkeys, weighing not more than 185g","10","0.35","4"
"01","Animals; live","010513","Poultry; live, ducks, weighing not more than 185g","10","0.54","4"
"01","Animals; live","010514","Poultry; live, geese, weighing not more than 185g","10","0.2","4"
"01","Animals; live","010515","Poultry; live, guinea fowls, weighing not more than 185g","10","0.62","1.25"
"01","Animals; live","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","15","2.19","80.65"
"01","Animals; live","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","10","1.35","52.83"
"01","Animals; live","010611","Mammals; live, primates","15","0","0"
"01","Animals; live","010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","20","0","0"
"01","Animals; live","010613","Mammals; live, camels and other camelids (Camelidae)","20","0","0"
"01","Animals; live","010614","Mammals; live, rabbits and hares","20","0","0"
"01","Animals; live","010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","15","2.4","0"
"01","Animals; live","010620","Reptiles; live (including snakes and turtles)","20","0","0"
"01","Animals; live","010631","Birds; live, birds of prey","20","1.8","0"
"01","Animals; live","010632","Birds; live, Psittaciformes","20","1.8","0"
"01","Animals; live","010633","Birds; live, ostriches; emus (Dromaius novaehollandiae)","20","1.8","0"
"01","Animals; live","010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","20","1.8","0"
"01","Animals; live","010641","Insects; live, bees","10","0","0"
"01","Animals; live","010649","Insects; live, other than bees","20","0","0"
"01","Animals; live","010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","7.5","0","0"
"02","Meat and edible meat offal","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","20","9.52","13.25"
"02","Meat and edible meat offal","020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","20","8.03","13.25"
"02","Meat and edible meat offal","020130","Meat; of bovine animals, boneless cuts, fresh or chilled","20","7.94","13.25"
"02","Meat and edible meat offal","020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","25","9.52","13.25"
"02","Meat and edible meat offal","020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","25","8.08","13.25"
"02","Meat and edible meat offal","020230","Meat; of bovine animals, boneless cuts, frozen","25","8.03","13.25"
"02","Meat and edible meat offal","020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","20","0","0"
"02","Meat and edible meat offal","020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","20","0.34","0"
"02","Meat and edible meat offal","020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","20","0.21","0"
"02","Meat and edible meat offal","020321","Meat; of swine, carcasses and half-carcasses, frozen","20","0","0"
"02","Meat and edible meat offal","020322","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","20","0.36","0"
"02","Meat and edible meat offal","020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","20","0.23","0"
"02","Meat and edible meat offal","020410","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","10","0.12","0"
"02","Meat and edible meat offal","020421","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","10","0.62","0"
"02","Meat and edible meat offal","020422","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","10","0.18","0"
"02","Meat and edible meat offal","020423","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","10","0.17","0"
"02","Meat and edible meat offal","020430","Meat; of sheep, lamb carcasses and half-carcasses, frozen","10","0.12","0"
"02","Meat and edible meat offal","020441","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen","10","1.02","2"
"02","Meat and edible meat offal","020442","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen","10","0.35","1"
"02","Meat and edible meat offal","020443","Meat; of sheep (including lamb), boneless cuts, frozen","10","0.24","1.25"
"02","Meat and edible meat offal","020450","Meat; of goats, fresh, chilled or frozen","10","0","0"
"02","Meat and edible meat offal","020500","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","10","0","0"
"02","Meat and edible meat offal","020610","Offal, edible; of bovine animals, fresh or chilled","20","0","0"
"02","Meat and edible meat offal","020621","Offal, edible; of bovine animals, tongues, frozen","20","0","0"
"02","Meat and edible meat offal","020622","Offal, edible; of bovine animals, livers, frozen","20","0","0"
"02","Meat and edible meat offal","020629","Offal, edible; of bovine animals, (other than tongues and livers), frozen","20","0","0"
"02","Meat and edible meat offal","020630","Offal, edible; of swine, fresh or chilled","15","0","0"
"02","Meat and edible meat offal","020641","Offal, edible; of swine, livers, frozen","10","0","0"
"02","Meat and edible meat offal","020649","Offal, edible; of swine, (other than livers), frozen","5","0","0"
"02","Meat and edible meat offal","020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","10","0","0"
"02","Meat and edible meat offal","020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","10","0","0"
